Year,Game #,Date,Opponent,Score BG,Score Font,Rank BG,Rank Font
2011,nc1,9/3/11,Western Michigan,,,,
2011,NC2,9/10/11,Notre Dame,,,,
2011,nc3,9/17/11,Eastern Michigan,,,,
2011,nc4,9/24/11,San Diego State,,,,
2011,g1,10/1/11,Minnesota,,,,
2011,g2,10/8/11,at Northwestern,,,,
2011,g3,10/15/11,at Michigan State,,,,
2011,g4,10/29/11,Purdue,,,,
2011,g5,11/5/11,at Iowa,,,,
2011,g6,11/12/11,at Illinois,,,,
2011,g7,11/19/11,Nebraska,,,,
2011,g8,11/26/11,Ohio State,,,,
2011,Sugar Bowl,1/3/12,vs. Virginia Tech,,,,
2012,NC1,9/1/12,vs. Alabama,,,,
2012,nc2,9/8/12,Air Force,,,,
2012,nc3,9/15/12,Massachusetts,,,,
2012,NC4,9/22/12,at Notre Dame,,,,
2012,g1,10/6/12,at Purdue,,,,
2012,g2,10/13/12,Illinois,,,,
2012,g3,10/20/12,Michigan State,,,,
2012,g4,10/27/12,at Nebraska,,,,
2012,g5,11/3/12,at Minnesota,,,,
2012,g6,11/10/12,Northwestern,,,,
2012,g7,11/17/12,Iowa,,,,
2012,g8,11/24/12,at Ohio State,,,,
2012,Outback Bowl,1/1/13,vs. South Carolina,,,,
2013,nc1,8/31/13,Central Michigan,,,,
2013,NC2,9/7/13,Notre Dame,,,,
2013,nc3,9/14/13,Akron,,,,
2013,nc4,9/21/13,at Connecticut,,,,
2013,g1,10/5/13,Minnesota,,,,
2013,g2,10/12/13,at Penn State,,,,
2013,g3,10/19/13,Indiana,,,,
2013,g4,11/2/13,at Michigan State,,,,
2013,g5,11/9/13,Nebraska,,,,
2013,g6,11/16/13,at Northwestern,,,,
2013,g7,11/23/13,at Iowa,,,,
2013,g8,11/30/13,Ohio State,,,,
2013,BWW Bowl,12/28/13,vs. Kansas State,,,,
2014,nc1,8/30/14,Appalachian State,,,,
2014,NC2,9/6/14,at Notre Dame,,,,
2014,nc3,9/13/14,Miami (OH),,,,
2014,NC4,9/20/14,Utah,,,,
2014,g1,9/27/14,Minnesota,,,,
2014,g2,10/4/14,at Rutgers,,,,
2014,g3,10/11/14,Penn State,,,,
2014,g4,10/25/14,at Michigan State,,,,
2014,g5,11/1/14,Indiana,,,,
2014,g6,11/8/14,at Northwestern,,,,
2014,g7,11/22/14,Maryland,,,,
2014,g8,11/29/14,at Ohio State,,,,
2015,NC1,9/3/15,at Utah,,,,
2015,NC2,9/12/15,Oregon State,,,,
2015,nc3,9/19/15,Unlv,,,,
2015,nc4,9/26/15,Brigham Young,,,,
2015,g1,10/3/15,at Maryland,,,,
2015,g2,10/10/15,Northwestern,,,,
2015,g3,10/17/15,Michigan State,,,,
2015,g4,10/31/15,at Minnesota,,,,
2015,g5,11/7/15,Rutgers,,,,
2015,g6,11/14/15,at Indiana,,,,
2015,g7,11/21/15,at Penn State,,,,
2015,g8,11/28/15,Ohio State,,,,
2015,Citrus Bowl,1/1/16,vs. Florida,,,,
2016,nc1,9/3/16,Hawai'i,,,,
2016,nc2,9/10/16,Central Florida,,,,
2016,NC3,9/17/16,Colorado,,,,
2016,g1,9/24/16,Penn State,,,,
2016,g2,10/1/16,Wisconsin,,,,
2016,g3,10/8/16,at Rutgers,,,,
2016,g4,10/22/16,Illinois,,,,
2016,g5,10/29/16,at Michigan State,,,,
2016,g6,11/5/16,Maryland,,,,
2016,g7,11/12/16,at Iowa,,,,
2016,g8,11/19/16,Indiana,,,,
2016,g9,11/26/16,at Ohio State,,,,
2016,Orange Bowl,12/30/16,vs. Florida State,,,,
2017,NC1,9/2/17,vs. Florida,,,,
2017,nc2,9/9/17,Cincinnati,,,,
2017,nc3,9/16/17,Air Force,,,,
2017,g1,9/23/17,at Purdue,,,,
2017,g2,10/7/17,Michigan State,,,,
2017,g3,10/14/17,at Indiana,,,,
2017,g4,10/21/17,at Penn State,,,,
2017,g5,10/28/17,Rutgers,,,,
2017,g6,11/4/17,Minnesota,,,,
2017,g7,11/11/17,at Maryland,,,,
2017,g8,11/18/17,at Wisconsin,,,,
2017,g9,11/25/17,Ohio State,,,,
2017,Outback Bowl,1/1/18,vs. South Carolina,,,,
2018,NC1,9/1/18,at Notre Dame,,,,
2018,nc2,9/8/18,Western Michigan,,,,
2018,nc3,9/15/18,Southern Methodist,,,,
2018,g1,9/22/18,Nebraska,,,,
2018,g2,9/29/18,at Northwestern,,,,
2018,g3,10/6/18,Maryland,,,,
2018,g4,10/13/18,Wisconsin,,,,
2018,g5,10/20/18,at Michigan State,,,,
2018,g6,11/3/18,Penn State,,,,
2018,g7,11/10/18,at Rutgers,,,,
2018,g8,11/17/18,Indiana,,,,
2018,g9,11/24/18,at Ohio State,,,,
2018,Peach Bowl,12/29/18,vs. Florida,,,,
2019,nc1,8/31/19,Middle Tennessee,,,,
2019,nc2,9/7/19,Army,,,,
2019,g1,9/21/19,at Wisconsin,,,,
