game_id,sport,season,date,opponent,emoji,border,caps,jersey,pants,accessories,uniform,note,score_bg,score_font,rank_bg,rank_font
313150130,CBB,2011-12,2011-11-11,Ferris State,,,,,,,,,,,,
313180130,CBB,2011-12,2011-11-14,Towson,,,,,,,,,,,,
313210130,CBB,2011-12,2011-11-17,Western Illinois,,,,,,,,,,,,
313250235,CBB,2011-12,2011-11-21,Memphis,,,,,,,,,,,,
313260150,CBB,2011-12,2011-11-22,Duke,,,,,,,,,,,,
313270026,CBB,2011-12,2011-11-23,UCLA,,,,,,,,,,,,
313330258,CBB,2011-12,2011-11-29,Virginia,,,,,,,,,,,,
313370130,CBB,2011-12,2011-12-03,Iowa State,,,,,,,,,,,,
313442473,CBB,2011-12,2011-12-10,Oakland,,,,,,,,,,,,
313470130,CBB,2011-12,2011-12-13,Arkansas-Pine Bluff,,,,,,,,,,,,
313510130,CBB,2011-12,2011-12-17,Alabama A&M,,,,,,,,,,,,
313560130,CBB,2011-12,2011-12-22,Bradley,,,,,,,,,,,,
313630130,CBB,2011-12,2011-12-29,Penn State,,,,,,,,,,,,
320010130,CBB,2011-12,2012-01-01,Minnesota,,,,,,,,,,,,
320050084,CBB,2011-12,2012-01-05,Indiana,,,,,,,,,,,,
320080130,CBB,2011-12,2012-01-08,Wisconsin,,,,,,,,,,,,
320110130,CBB,2011-12,2012-01-11,Northwestern,,,,,,,,,,,,
320142294,CBB,2011-12,2012-01-14,Iowa,,,,,,,,,,,,
320170130,CBB,2011-12,2012-01-17,Michigan State,,,,,,,,,,,,
320210008,CBB,2011-12,2012-01-21,Arkansas,,,,,,,,,,,,
320242509,CBB,2011-12,2012-01-24,Purdue,,,,,,,,,,,,
320290194,CBB,2011-12,2012-01-29,Ohio State,,,,,,,,,,,,
320320130,CBB,2011-12,2012-02-01,Indiana,,,,,,,,,,,,
320360127,CBB,2011-12,2012-02-05,Michigan State,,,,,,,,,,,,
320390158,CBB,2011-12,2012-02-08,Nebraska,,,,,,,,,,,,
320430130,CBB,2011-12,2012-02-12,Illinois,,,,,,,,,,,,
320490130,CBB,2011-12,2012-02-18,Ohio State,,,,,,,,,,,,
320520077,CBB,2011-12,2012-02-21,Northwestern,,,,,,,,,,,,
320560130,CBB,2011-12,2012-02-25,Purdue,,,,,,,,,,,,
320610356,CBB,2011-12,2012-03-01,Illinois,,,,,,,,,,,,
320640213,CBB,2011-12,2012-03-04,Penn State,,,,,,,,,,,,
320690130,CBB,2011-12,2012-03-09,Minnesota,,,,,,,,,,,,
320700130,CBB,2011-12,2012-03-10,Ohio State,,,,,,,,,,,,
320760130,CBB,2011-12,2012-03-16,Ohio,,,,,,,,,,,,
323140130,CBB,2012-13,2012-11-09,Slippery Rock,,,,,,,,,,,,
323170130,CBB,2012-13,2012-11-12,IU Indianapolis,,,,,,,,,,,,
323180130,CBB,2012-13,2012-11-13,Cleveland State,,,,,,,,,,,,
323260221,CBB,2012-13,2012-11-21,Pittsburgh,,,,,,,,,,,,
400433038,CBB,2012-13,2012-11-21,Pittsburgh,,,,,,,,,,,,
323280130,CBB,2012-13,2012-11-23,Kansas State,,,,,,,,,,,,
323320130,CBB,2012-13,2012-11-27,NC State,,,,,,,,,,,,
323360071,CBB,2012-13,2012-12-01,Bradley,,,,,,,,,,,,
323390130,CBB,2012-13,2012-12-04,Western Michigan,,,,,,,,,,,,
323430130,CBB,2012-13,2012-12-08,Arkansas,,,,,,,,,,,,
323460130,CBB,2012-13,2012-12-11,Binghamton,,,,,,,,,,,,
323500277,CBB,2012-13,2012-12-15,West Virginia,,,,,,,,,,,,
400413111,CBB,2012-13,2012-12-15,West Virginia,,,,,,,,,,,,
323550130,CBB,2012-13,2012-12-20,Eastern Michigan,,,,,,,,,,,,
323640130,CBB,2012-13,2012-12-29,Central Michigan,,,,,,,,,,,,
330030077,CBB,2012-13,2013-01-03,Northwestern,,,,,,,,,,,,
330060130,CBB,2012-13,2013-01-06,Iowa,,,,,,,,,,,,
330090130,CBB,2012-13,2013-01-09,Nebraska,,,,,,,,,,,,
330130194,CBB,2012-13,2013-01-13,Ohio State,,,,,,,,,,,,
330170135,CBB,2012-13,2013-01-17,Minnesota,,,,,,,,,,,,
330240130,CBB,2012-13,2013-01-24,Purdue,,,,,,,,,,,,
330270356,CBB,2012-13,2013-01-27,Illinois,,,,,,,,,,,,
330300130,CBB,2012-13,2013-01-30,Northwestern,,,,,,,,,,,,
330330084,CBB,2012-13,2013-02-02,Indiana,,,,,,,,,,,,
330360130,CBB,2012-13,2013-02-05,Ohio State,,,,,,,,,,,,
330400275,CBB,2012-13,2013-02-09,Wisconsin,,,,,,,,,,,,
330430127,CBB,2012-13,2013-02-12,Michigan State,,,,,,,,,,,,
330480130,CBB,2012-13,2013-02-17,Penn State,,,,,,,,,,,,
330550130,CBB,2012-13,2013-02-24,Illinois,,,,,,,,,,,,
330580213,CBB,2012-13,2013-02-27,Penn State,,,,,,,,,,,,
330620130,CBB,2012-13,2013-03-03,Michigan State,,,,,,,,,,,,
330652509,CBB,2012-13,2013-03-06,Purdue,,,,,,,,,,,,
330690130,CBB,2012-13,2013-03-10,Indiana,,,,,,,,,,,,
330730130,CBB,2012-13,2013-03-14,Penn State,,,,,,,,,,,,
330740275,CBB,2012-13,2013-03-15,Wisconsin,,,,,,,,,,,,
330800130,CBB,2012-13,2013-03-21,South Dakota State,,,,,,,,,,,,
330820130,CBB,2012-13,2013-03-23,VCU,,,,,,,,,,,,
330882305,CBB,2012-13,2013-03-29,Kansas,,,,,,,,,,,,
330900057,CBB,2012-13,2013-03-31,Florida,,,,,,,,,,,,
330960130,CBB,2012-13,2013-04-06,Syracuse,,,,,,,,,,,,
