sport,season,team_id,team,rating
CBB,2025,333,Alabama,
CBB,2025,12,Arizona,
CBB,2025,2,Auburn,
CBB,2025,41,Connecticut,
CBB,2025,150,Duke,
CBB,2025,2250,Gonzaga,
CBB,2025,47,Howard,
CBB,2025,356,Illinois,
CBB,2025,84,Indiana,
CBB,2025,2294,Iowa,
CBB,2025,2325,La Salle,
CBB,2025,120,Maryland,
CBB,2025,2377,McNeese,
CBB,2025,127,Michigan State,
CBB,2025,2393,Middle Tennessee,
CBB,2025,135,Minnesota,
CBB,2025,158,Nebraska,
CBB,2025,77,Northwestern,
CBB,2025,2473,Oakland,
CBB,2025,194,Ohio State,
CBB,2025,2483,Oregon,
CBB,2025,213,Penn State,
CBB,2025,2509,Purdue,
CBB,2025,164,Rutgers,
CBB,2025,139,Saint Louis,
CBB,2025,21,San Diego State,
CBB,2025,30,Southern California,
CBB,2025,2633,Tennessee,
CBB,2025,2628,Texas Christian,
CBB,2025,26,UCLA,
CBB,2025,222,Villanova,
CBB,2025,154,Wake Forest,
CBB,2025,264,Washington,
CBB,2025,275,Wisconsin,
CFB,2023,333,Alabama,
CFB,2023,189,Bowling Green,83
CFB,2023,151,East Carolina,111
CFB,2023,84,Indiana,92
CFB,2023,2294,Iowa,
CFB,2023,120,Maryland,21
CFB,2023,127,Michigan State,88
CFB,2023,135,Minnesota,63
CFB,2023,158,Nebraska,66
CFB,2023,194,Ohio State,
CFB,2023,213,Penn State,
CFB,2023,2509,Purdue,90
CFB,2023,164,Rutgers,56
CFB,2023,2439,Unlv,61
CFB,2023,264,Washington,
