sport,season,team_id,team,seed
CBB,2011,130,Michigan,
CBB,2011,135,Minnesota,
CBB,2011,194,Ohio State,
CBB,2012,130,Michigan,
CBB,2012,213,Penn State,
CBB,2012,275,Wisconsin,
CBB,2013,356,Illinois,
CBB,2013,130,Michigan,
CBB,2013,127,Michigan State,
CBB,2013,194,Ohio State,
CBB,2014,356,Illinois,
CBB,2014,130,Michigan,
CBB,2014,127,Michigan State,
CBB,2014,275,Wisconsin,
CBB,2015,84,Indiana,
CBB,2015,130,Michigan,
CBB,2015,77,Northwestern,
CBB,2015,2509,Purdue,
CBB,2016,356,Illinois,
CBB,2016,130,Michigan,
CBB,2016,127,Michigan State,
CBB,2016,135,Minnesota,
CBB,2016,194,Ohio State,
CBB,2016,2509,Purdue,
CBB,2016,164,Rutgers,
CBB,2016,275,Wisconsin,
CBB,2017,2294,Iowa,
CBB,2017,130,Michigan,
CBB,2017,127,Michigan State,
CBB,2017,158,Nebraska,
CBB,2017,194,Ohio State,
CBB,2017,213,Penn State,
CBB,2017,2509,Purdue,
CBB,2018,2294,Iowa,
CBB,2018,130,Michigan,
CBB,2018,127,Michigan State,
CBB,2018,135,Minnesota,
CBB,2020,356,Illinois,
CBB,2020,120,Maryland,
CBB,2020,130,Michigan,
CBB,2020,127,Michigan State,
CBB,2020,194,Ohio State,
CBB,2021,84,Indiana,
CBB,2021,2294,Iowa,
CBB,2021,130,Michigan,
CBB,2021,127,Michigan State,
CBB,2021,194,Ohio State,
CBB,2021,213,Penn State,
CBB,2021,2509,Purdue,
CBB,2022,130,Michigan,
CBB,2022,194,Ohio State,
CBB,2022,213,Penn State,
CBB,2022,2509,Purdue,
CBB,2022,164,Rutgers,
CBB,2023,356,Illinois,
CBB,2023,130,Michigan,
CBB,2023,127,Michigan State,
CBB,2023,194,Ohio State,
CBB,2023,213,Penn State,
CBB,2023,2509,Purdue,
CBB,2023,275,Wisconsin,
CBB,2024,2294,Iowa,
CBB,2024,120,Maryland,
CBB,2024,130,Michigan,
CBB,2024,127,Michigan State,
CBB,2024,194,Ohio State,
CBB,2024,2509,Purdue,
CBB,2024,275,Wisconsin,
CBB,2025,130,Michigan,
CBB,2025,127,Michigan State,
CBB,2025,194,Ohio State,
CBB,2025,2509,Purdue,
CBB,2025,26,UCLA,
CBB,2025,275,Wisconsin,
